Date,BND,EEM,^DJI,^FCHI,^FTSE,^GDAXI,^GSPC,^HSI,^IXIC,^N225
2022-12-02,71.25861358642578,38.64365005493164,34429.87890625,6742.25,7556.2001953125,14529.3896484375,4071.699951171875,18675.349609375,11461.5,27777.900390625
2022-12-05,70.6962890625,38.20384979248047,33947.1015625,6696.9599609375,7567.5,14447.6103515625,3998.840087890625,19518.2890625,11239.9404296875,27820.400390625
2022-12-06,70.92898559570312,38.15498352050781,33596.33984375,6687.7900390625,7521.39990234375,14343.1904296875,3941.260009765625,19441.1796875,11014.8896484375,27885.869140625
2022-12-07,71.5494613647461,37.930198669433594,33597.921875,6660.58984375,7489.2001953125,14261.1904296875,3933.919921875,18814.8203125,10958.5498046875,27686.400390625
2022-12-08,71.34584045410156,38.38954162597656,33781.48046875,6647.31005859375,7472.2001953125,14264.5595703125,3963.510009765625,19450.23046875,11082.0,27574.4296875
2022-12-09,70.92898559570312,38.13543701171875,33476.4609375,6677.64013671875,7476.60009765625,14370.7197265625,3934.3798828125,19900.869140625,11004.6201171875,27901.009765625
2022-12-12,70.92898559570312,38.018157958984375,34005.0390625,6650.5498046875,7446.0,14306.6298828125,3990.56005859375,19463.630859375,11143.740234375,27842.330078125
2022-12-13,71.41372680664062,38.2900276184082,34108.640625,6744.97998046875,7502.89990234375,14497.8896484375,4019.64990234375,19596.19921875,11256.8095703125,27954.849609375
2022-12-14,71.58824920654297,38.309871673583984,33966.3515625,6730.7900390625,7495.89990234375,14460.2001953125,3995.320068359375,19673.44921875,11170.8896484375,28156.2109375
2022-12-15,71.62700653076172,37.42679214477539,33202.21875,6522.77001953125,7426.2001953125,13986.23046875,3895.75,19368.58984375,10810.5302734375,28051.69921875
2022-12-16,71.44281768798828,37.53593826293945,32920.4609375,6452.6298828125,7332.10009765625,13893.0703125,3852.360107421875,19450.669921875,10705.41015625,27527.119140625
2022-12-19,71.01622009277344,37.56570053100586,32757.5390625,6473.2900390625,7361.2998046875,13942.8701171875,3817.659912109375,19352.810546875,10546.0302734375,27237.640625
2022-12-20,70.55085754394531,37.55577850341797,32849.73828125,6450.43017578125,7370.60009765625,13884.66015625,3821.6201171875,19094.80078125,10547.1103515625,26568.029296875
2022-12-21,70.71569061279297,37.89313507080078,33376.48046875,6580.240234375,7497.2998046875,14097.8203125,3878.43994140625,19160.490234375,10709.3701171875,26387.720703125
2022-12-22,70.70597839355469,37.55577850341797,33027.48828125,6517.97021484375,7469.2998046875,13914.0703125,3822.389892578125,19679.220703125,10476.1201171875,26507.869140625
2022-12-23,70.48442840576172,37.506168365478516,33203.9296875,6504.89990234375,7473.0,13940.9296875,3844.820068359375,19593.060546875,10497.8603515625,26235.25
2022-12-27,69.9402084350586,38.06181716918945,33241.55859375,6550.66015625,7473.0,13995.099609375,3829.25,19593.060546875,10353.23046875,26447.869140625
2022-12-28,69.84303283691406,37.506168365478516,32875.7109375,6510.490234375,7497.2001953125,13925.599609375,3783.219970703125,19898.91015625,10213.2900390625,26340.5
2022-12-29,70.10540771484375,38.13127136230469,33220.80078125,6573.47021484375,7512.7001953125,14071.7197265625,3849.280029296875,19741.140625,10478.08984375,26093.669921875
2022-12-30,69.81387329101562,37.60539245605469,33147.25,6473.759765625,7451.7001953125,13923.58984375,3839.5,19781.41015625,10466.48046875,26094.5
2023-01-03,70.18315887451172,37.92290496826172,33136.37109375,6623.89013671875,7554.10009765625,14181.669921875,3824.139892578125,20145.2890625,10386.98046875,26094.5
2023-01-04,70.58158874511719,39.063961029052734,33269.76953125,6776.43017578125,7585.2001953125,14490.7802734375,3852.969970703125,20793.109375,10458.759765625,25716.859375
2023-01-05,70.50386810302734,38.94489669799805,32930.078125,6761.5,7633.5,14436.3095703125,3808.10009765625,21052.169921875,10305.240234375,25820.80078125
2023-01-06,71.2812728881836,39.758522033691406,33630.609375,6860.9501953125,7699.5,14610.01953125,3895.080078125,20991.640625,10569.2900390625,25973.849609375
2023-01-09,71.47563934326172,40.056190490722656,33517.6484375,6907.35986328125,7724.89990234375,14792.830078125,3892.090087890625,21388.33984375,10635.650390625,25973.849609375
2023-01-10,71.19384002685547,40.343936920166016,33704.1015625,6869.14013671875,7694.5,14774.599609375,3919.25,21331.4609375,10742.6298828125,26175.560546875
2023-01-11,71.57283782958984,40.51261520385742,33973.01171875,6924.18994140625,7725.0,14947.91015625,3969.610107421875,21436.05078125,10931.669921875,26446.0
2023-01-12,72.12675476074219,40.7110595703125,34189.96875,6975.68017578125,7794.0,15058.2998046875,3983.169921875,21514.099609375,11001.099609375,26449.8203125
2023-01-13,71.8837890625,40.97896194458008,34302.609375,7023.5,7844.10009765625,15086.51953125,3999.090087890625,21738.66015625,11079.16015625,26119.51953125
2023-01-17,71.78662872314453,40.75074768066406,33910.8515625,7077.16015625,7851.0,15187.0703125,3990.969970703125,21577.640625,11095.1103515625,26138.6796875
2023-01-18,72.44745635986328,40.47292709350586,33296.9609375,7083.39013671875,7830.7001953125,15181.7998046875,3928.860107421875,21678.0,10957.009765625,26791.119140625
2023-01-19,72.30168914794922,40.780513763427734,33044.55859375,6951.8701171875,7747.2998046875,14920.3603515625,3898.85009765625,21650.98046875,10852.26953125,26405.23046875
2023-01-20,71.9809799194336,41.405616760253906,33375.48828125,6995.990234375,7770.60009765625,15033.5595703125,3972.610107421875,22044.650390625,11140.4296875,26553.529296875
2023-01-23,71.80606079101562,41.703285217285156,33629.55859375,7032.02001953125,7784.7001953125,15102.9501953125,4019.81005859375,22044.650390625,11364.41015625,26906.0390625
