Date,AAPL,ABBV,ABT,ACN,ADBE,ADP,AMAT,AMD,AMGN,AMZN,ASML,AVGO,AXP,AZN,BA,BABA,BAC,BCS,BHP,BKNG,BMY,BP,CAT,CMCSA,COP,COST,CRM,CSCO,CVX,DE,DHR,DIS,ELV,GE,GOOG,GOOGL,GS,HD,HDB,HON,HSBC,IBM,INTC,INTU,ISRG,JNJ,JPM,KO,LIN,LLY,LMT,LOW,LYG,MA,MCD,MDT,META,MRK,MS,MSFT,MUFG,NEE,NFLX,NGG,NKE,NOW,NVDA,NVO,NVS,ORCL,PDD,PEP,PFE,PG,PLD,PM,QCOM,RTX,RY,RYAAY,SAP,SBUX,SHEL,SNY,SONY,SPGI,SYK,T,TBB,TBC,TD,TJX,TM,TMO,TMUS,TSLA,TSM,TTE,TXN,UL,UNH,UNP,UPS,V,VZ,WMT,XOM
2022-12-02,146.9884033203125,157.30519104003906,105.97007751464844,295.4361572265625,341.5299987792969,264.2214660644531,105.73001098632812,74.9800033569336,275.94580078125,94.12999725341797,599.7310791015625,526.8013916015625,154.46548461914062,67.05015563964844,182.8699951171875,90.05999755859375,34.99052429199219,7.451544284820557,61.69516372680664,2085.43994140625,78.33793640136719,33.80705261230469,231.39297485351562,34.83662033081055,117.11396789550781,490.81329345703125,144.55999755859375,48.221866607666016,174.18606567382812,440.06341552734375,241.93478393554688,99.43000030517578,518.5341796875,67.59513092041016,100.83000183105469,100.44000244140625,368.8885192871094,319.1101379394531,67.49188995361328,214.3470458984375,28.530376434326172,141.63565063476562,28.739221572875977,404.96612548828125,272.25,173.6117401123047,131.24771118164062,62.381893157958984,332.7472839355469,371.09967041015625,483.1305847167969,210.44093322753906,2.1494903564453125,357.8763732910156,267.3473205566406,76.97791290283203,123.48999786376953,107.1102523803711,88.66490173339844,252.77865600585938,5.5,82.86035919189453,320.4100036621094,59.25220489501953,110.76821899414062,412.8699951171875,168.69998168945312,61.8436393737793,86.241943359375,82.10272216796875,86.33999633789062,180.50811767578125,48.700347900390625,146.8812255859375,113.69715118408203,98.89027404785156,122.38525390625,98.42610168457031,95.5215072631836,77.86000061035156,110.19816589355469,102.89127349853516,55.48528289794922,43.37880325317383,82.79000091552734,356.3511657714844,240.42198181152344,17.822744369506836,22.086782455444336,22.93825912475586,65.45704650878906,78.95854187011719,146.52999877929688,561.58154296875,151.74757385253906,194.86000061035156,79.87016296386719,57.627471923828125,172.25473022460938,49.6712646484375,528.2077026367188,209.33302307128906,182.14669799804688,215.94515991210938,35.56761169433594,150.90969848632812,106.23297882080078
2022-12-05,145.81497192382812,157.57431030273438,103.34264373779297,288.1617126464844,334.0899963378906,258.8274230957031,105.45258331298828,73.62000274658203,275.3658752441406,91.01000213623047,594.8596801757812,516.9043579101562,153.80523681640625,67.00119018554688,185.10000610351562,90.5199966430664,33.429141998291016,7.337197780609131,60.77114486694336,2056.52001953125,77.92274475097656,33.46286392211914,227.90438842773438,34.14688491821289,114.42048645019531,484.9873962402344,133.92999267578125,47.86287307739258,169.88507080078125,431.45196533203125,236.41200256347656,95.93000030517578,517.286376953125,65.86791229248047,99.87000274658203,99.4800033569336,360.1262512207031,311.414306640625,67.67991638183594,210.94224548339844,28.362436294555664,140.4352569580078,28.504695892333984,392.2786560058594,269.7200012207031,173.51466369628906,127.56742858886719,61.52880859375,329.699462890625,365.6830749511719,477.7173767089844,201.958251953125,2.1116139888763428,353.93048095703125,265.577392578125,76.17544555664062,122.43000030517578,107.0810546875,86.46031188964844,248.00099182128906,5.380000114440918,82.81173706054688,312.5899963378906,59.385009765625,108.22114562988281,392.260009765625,166.0409393310547,61.93136215209961,87.17154693603516,78.24138641357422,87.80000305175781,178.0098114013672,48.528160095214844,145.3988494873047,111.09146118164062,98.11280822753906,120.08676147460938,98.10454559326172,94.19854736328125,77.3499984741211,108.4669418334961,101.4220962524414,55.177669525146484,43.30170440673828,81.61000061035156,346.9521484375,235.26954650878906,17.569740295410156,21.624479293823242,22.50439453125,64.09236907958984,78.23974609375,143.19000244140625,555.8062133789062,149.96534729003906,182.4499969482422,79.9877700805664,56.82880783081055,171.99295043945312,49.17938232421875,527.1043090820312,205.75526428222656,174.23146057128906,211.99652099609375,34.53356170654297,149.36337280273438,103.32235717773438
2022-12-06,142.1156463623047,157.36285400390625,101.82303619384766,280.9463806152344,331.1499938964844,253.09071350097656,103.74838256835938,70.2699966430664,273.8001403808594,88.25,587.1961059570312,512.209228515625,152.44534301757812,67.13829040527344,178.42999267578125,91.44999694824219,32.0035285949707,7.442015171051025,61.0240364074707,2042.18994140625,77.16958618164062,32.860530853271484,223.7102508544922,33.77772521972656,110.81637573242188,477.5437316894531,133.27000427246094,47.144874572753906,165.50706481933594,432.7950134277344,234.10055541992188,92.29000091552734,523.2877807617188,66.35028839111328,97.30999755859375,96.9800033569336,351.7613830566406,308.85552978515625,67.51168823242188,208.5843048095703,28.33445167541504,140.52101135253906,27.947696685791016,386.9574890136719,266.30999755859375,170.91360473632812,127.78104400634766,61.49972915649414,326.9771423339844,364.9404296875,471.2234191894531,197.77569580078125,2.1210830211639404,345.4224548339844,265.7533874511719,74.5221939086914,114.12000274658203,106.0298080444336,84.24610137939453,242.96563720703125,5.400000095367432,82.84092712402344,305.55999755859375,59.00555419921875,106.55271911621094,389.1499938964844,159.81314086914062,61.30268859863281,86.96070861816406,77.72916412353516,86.91000366210938,176.56143188476562,47.55242919921875,145.5841522216797,111.42203521728516,96.35875701904297,116.65849304199219,96.20442962646484,92.84681701660156,76.06999969482422,106.00782012939453,99.9822998046875,54.48554229736328,46.79051208496094,79.47000122070312,348.31890869140625,232.9356689453125,17.963302612304688,21.548999786376953,22.47610092163086,63.01397705078125,78.14128875732422,141.08999633789062,549.1430053710938,148.74069213867188,179.82000732421875,77.96896362304688,57.16158676147461,169.03575134277344,49.35298156738281,531.32080078125,205.833251953125,168.40322875976562,207.43276977539062,34.365875244140625,147.62991333007812,100.4504165649414
2022-12-07,140.15660095214844,158.9776153564453,102.75440216064453,282.20635986328125,326.67999267578125,253.76617431640625,105.13553619384766,70.13999938964844,276.18743896484375,88.45999908447266,595.4141235351562,505.0786437988281,152.5143280029297,67.42227935791016,176.5,88.33000183105469,31.75137710571289,7.394371032714844,60.741966247558594,1955.56005859375,77.17925262451172,32.42073440551758,224.3863983154297,33.63200378417969,110.11665344238281,478.34765625,130.47999572753906,46.7470703125,165.99778747558594,435.1651306152344,236.6502227783203,92.1500015258789,524.7733154296875,66.13243865966797,95.1500015258789,94.94000244140625,348.86322021484375,311.48236083984375,66.8684310913086,208.8386993408203,28.05455780029297,140.30189514160156,27.683855056762695,385.8356628417969,267.9599914550781,171.95208740234375,127.69364929199219,61.5966682434082,326.87847900390625,368.3368835449219,468.49737548828125,202.6537322998047,2.1210830211639404,345.3130798339844,264.3550720214844,74.35784149169922,113.93000030517578,107.15892028808594,84.02467346191406,242.22222900390625,5.449999809265137,82.9478988647461,308.4200134277344,58.806339263916016,106.9476089477539,388.5199890136719,161.14266967773438,61.03464889526367,87.90948486328125,77.60111236572266,85.81999969482422,177.09605407714844,48.05942916870117,146.5203857421875,112.78321838378906,96.59578704833984,115.12940979003906,96.5064926147461,92.63591766357422,75.23999786376953,106.10619354248047,99.77661895751953,54.1683235168457,46.20262145996094,79.04000091552734,348.1505432128906,239.40335083007812,18.085119247436523,21.41691780090332,22.4666690826416,62.39366149902344,78.18067169189453,141.86000061035156,556.73388671875,148.14329528808594,174.0399932861328,77.65535736083984,56.33439636230469,168.46371459960938,49.015411376953125,534.8575439453125,206.88612365722656,167.98965454101562,206.17276000976562,34.62671661376953,146.86167907714844,100.22801971435547
2022-12-08,141.85708618164062,159.5447235107422,104.8230209350586,287.5809326171875,332.5799865722656,255.81227111816406,107.61256408691406,70.47000122070312,276.0037841796875,90.3499984741211,600.8995361328125,517.3330688476562,151.87380981445312,67.73564147949219,179.0800018310547,94.16999816894531,31.460437774658203,7.3848419189453125,61.73406982421875,2010.760009765625,77.13096618652344,32.439857482910156,226.28750610351562,33.97201919555664,107.93119812011719,477.80181884765625,130.1300048828125,47.532981872558594,166.979248046875,437.4167785644531,239.80860900878906,92.55000305175781,524.0007934570312,65.06653594970703,93.94999694824219,93.70999908447266,347.0797424316406,315.31573486328125,67.32365417480469,208.7408447265625,28.20383071899414,140.78775024414062,27.79134750366211,402.4246520996094,272.0199890136719,171.981201171875,129.03372192382812,61.85841369628906,330.0644226074219,368.1586608886719,472.5670166015625,199.3919219970703,2.1116139888763428,349.0403747558594,267.33758544921875,75.20863342285156,115.33000183105469,107.898681640625,85.38208770751953,245.22561645507812,5.440000057220459,83.40499114990234,310.260009765625,59.574737548828125,109.9389419555664,396.2300109863281,171.62893676757812,62.27737045288086,87.7657241821289,78.8718032836914,91.11000061035156,178.65139770507812,49.5325813293457,147.57363891601562,114.3388442993164,96.7664566040039,118.5771484375,96.94497680664062,92.6455078125,76.0199966430664,106.0570068359375,101.60818481445312,54.39903259277344,45.21958541870117,79.19000244140625,349.42816162109375,245.09967041015625,17.91645050048828,21.41691780090332,22.50439453125,63.176204681396484,77.47172546386719,142.27999877929688,566.5191650390625,143.18495178222656,173.44000244140625,79.18416595458984,56.819297790527344,170.99429321289062,48.61032485961914,539.7932739257812,207.67576599121094,172.75999450683594,207.45260620117188,34.56150817871094,147.0890655517578,100.97258758544922
2022-12-09,141.36981201171875,156.7284698486328,105.40145874023438,283.89947509765625,330.6400146484375,253.00872802734375,106.3542251586914,68.58999633789062,269.3155517578125,89.08999633789062,591.8001708984375,530.6199340820312,151.65699768066406,68.1077651977539,179.5399932861328,91.33999633789062,31.40224838256836,7.556360721588135,62.23011779785156,2019.97998046875,76.11710357666016,32.22951889038086,222.73031616210938,34.31202697753906,105.45816040039062,479.3897705078125,131.11000061035156,47.01874542236328,161.648681640625,429.3978271484375,237.6206512451172,93.37999725341797,519.8414306640625,63.37044143676758,93.06999969482422,92.83000183105469,348.1072082519531,311.803466796875,67.9866943359375,207.05801391601562,28.325119018554688,140.09228515625,27.59590721130371,396.9346923828125,270.6000061035156,170.564208984375,128.33456420898438,61.20890426635742,327.6773986816406,357.4641418457031,470.81451416015625,197.63858032226562,2.130552053451538,346.7145080566406,266.0174560546875,75.9820785522461,115.9000015258789,105.88379669189453,86.13299560546875,243.26300048828125,5.46999979019165,82.1893081665039,320.010009765625,59.12887954711914,108.02369689941406,393.5799865722656,169.94952392578125,62.82319641113281,87.1619644165039,78.66494750976562,89.70999908447266,177.99038696289062,49.475189208984375,147.1835479736328,113.09434509277344,96.79489135742188,115.94751739501953,95.75617980957031,91.96485137939453,77.73999786376953,105.53567504882812,99.69825744628906,53.456974029541016,44.58350372314453,80.37999725341797,343.42626953125,241.9251708984375,17.888338088989258,21.247089385986328,22.334623336791992,63.319358825683594,76.86125183105469,143.33999633789062,558.8185424804688,140.95469665527344,179.0500030517578,79.07636260986328,55.93506622314453,168.95819091796875,48.562103271484375,531.20263671875,206.03797912597656,170.84608459472656,207.0557403564453,34.840980529785156,143.6584930419922,100.12164306640625
2022-12-12,143.68685913085938,158.90074157714844,107.34261322021484,287.76800537109375,338.1700134277344,260.1208801269531,108.36558532714844,70.66999816894531,267.5082092285156,90.55000305175781,603.9688110351562,542.2216796875,155.01731872558594,67.8433609008789,186.27000427246094,89.41000366210938,31.741680145263672,7.556360721588135,61.36445999145508,2080.0,76.17503356933594,32.60239028930664,228.3845672607422,35.477783203125,107.14517211914062,484.0147399902344,133.11000061035156,47.833763122558594,163.33250427246094,431.60992431640625,241.28192138671875,94.66000366210938,529.0119018554688,64.73976135253906,93.55999755859375,93.30999755859375,352.0230712890625,319.1004333496094,68.59036254882812,209.86599731445312,28.41841697692871,142.1501007080078,28.03564453125,407.805419921875,273.8399963378906,172.6023712158203,130.32522583007812,62.01351547241211,331.46502685546875,363.6629943847656,473.482177734375,200.88079833984375,2.130552053451538,355.9978942871094,270.49603271484375,77.0649185180664,114.70999908447266,106.06874084472656,87.7214584350586,250.29067993164062,5.46999979019165,84.17329406738281,315.17999267578125,59.25220489501953,110.63988494873047,401.6400146484375,175.28765869140625,63.26179885864258,87.09487915039062,80.0636978149414,86.06999969482422,178.83609008789062,49.896095275878906,148.69517517089844,114.75691223144531,97.2784423828125,118.05121612548828,97.01319122314453,92.9714584350586,78.87000274658203,106.58817291259766,100.58955383300781,54.17793273925781,44.96900939941406,80.18000030517578,343.8620910644531,246.4149627685547,18.085119247436523,21.133872985839844,22.240304946899414,63.86331558227539,77.55050659179688,144.1199951171875,566.1700439453125,141.78106689453125,167.82000732421875,78.82156372070312,56.819297790527344,172.08021545410156,48.8803825378418,537.7638549804688,210.40538024902344,175.54905700683594,212.89932250976562,35.35334777832031,146.33770751953125,102.58744049072266
2022-12-13,144.66143798828125,158.3913116455078,109.34260559082031,290.73089599609375,342.4599914550781,257.92724609375,110.8426284790039,71.6500015258789,263.1396484375,92.48999786376953,622.0684814453125,556.2586059570312,155.22425842285156,68.13713836669922,187.1300048828125,91.41000366210938,31.761077880859375,7.689764022827148,61.627079010009766,2047.8299560546875,74.68803405761719,33.4724235534668,230.7658233642578,35.66236114501953,108.70759582519531,484.5308532714844,135.6199951171875,48.16365051269531,166.9696044921875,431.7481689453125,244.09625244140625,94.69999694824219,514.295654296875,64.48301696777344,95.8499984741211,95.62999725341797,357.36376953125,323.8775329589844,68.95652770996094,210.3160858154297,28.782276153564453,143.4457550048828,28.074729919433594,425.2879333496094,281.739990234375,173.93202209472656,130.198974609375,62.03290939331055,337.7777099609375,355.1568908691406,467.5432434082031,206.8950653076172,2.168428659439087,354.98406982421875,268.2078552246094,77.48065185546875,120.1500015258789,107.95709228515625,89.25215148925781,254.6619415283203,5.559999942779541,84.75682067871094,320.3399963378906,59.52730941772461,111.40991973876953,416.1700134277344,180.65574645996094,64.73844909667969,87.4111328125,79.35446166992188,88.73999786376953,178.7388916015625,50.76659393310547,148.4708709716797,117.7320556640625,97.01296997070312,120.27181243896484,97.33474731445312,92.00320434570312,76.12999725341797,108.01446533203125,100.01168823242188,55.158443450927734,45.33523941040039,80.98999786376953,354.2614440917969,251.14208984375,17.91645050048828,21.426347732543945,22.542123794555664,62.41275405883789,77.94435119628906,144.5,569.9404907226562,139.968994140625,160.9499969482422,78.89997863769531,58.62580490112305,172.099609375,48.8610954284668,530.2371215820312,212.54034423828125,176.81858825683594,211.36155700683594,35.26950454711914,145.813720703125,103.70915222167969
2022-12-14,142.41397094726562,158.45860290527344,109.0779037475586,286.8919372558594,339.9200134277344,255.841796875,108.63311004638672,68.93000030517578,262.0475158691406,91.58000183105469,609.7808227539062,559.5706176757812,151.86395263671875,68.97930908203125,188.25,90.91000366210938,31.305267333984375,7.604004859924316,60.703060150146484,2006.800048828125,74.48526000976562,33.27164840698242,229.7760772705078,34.34117126464844,108.18998718261719,479.8860168457031,134.75,47.833763122558594,165.81497192382812,432.982666015625,241.93478393554688,94.1500015258789,515.1176147460938,63.447242736816406,95.30999755859375,95.06999969482422,349.30908203125,324.4028625488281,68.54088592529297,210.0812530517578,28.56769371032715,142.76934814453125,27.61545181274414,415.886474609375,280.6499938964844,174.46580505371094,129.54837036132812,62.03290939331055,337.3437194824219,359.94964599609375,472.38201904296875,207.766845703125,2.140021324157715,355.34185791015625,268.45233154296875,76.17544555664062,121.58999633789062,109.29945373535156,87.12457275390625,254.95933532714844,5.5,84.6595687866211,317.8299865722656,59.89727783203125,110.02778625488281,418.3900146484375,176.67715454101562,65.65464782714844,88.67615509033203,80.59561920166016,90.01000213623047,178.24313354492188,52.115394592285156,149.05599975585938,118.20848083496094,97.14571380615234,118.53819274902344,97.39321899414062,91.53345489501953,77.72000122070312,107.91609954833984,100.09004211425781,54.56244659423828,46.21226119995117,81.2300033569336,350.4483337402344,251.01356506347656,17.710298538208008,21.482959747314453,22.664737701416016,61.620662689208984,78.0723648071289,144.64999389648438,566.0982055664062,141.7412567138672,156.8000030517578,78.41975402832031,57.68452072143555,170.47071838378906,49.53623962402344,530.3751220703125,212.1114044189453,177.26097106933594,211.6393585205078,34.88755798339844,145.00303649902344,102.94523620605469
2022-12-15,135.74127197265625,156.76693725585938,106.39163208007812,276.7234802246094,328.7099914550781,244.7357635498047,103.5997543334961,66.52999877929688,257.2246398925781,88.44999694824219,580.5523681640625,543.55615234375,148.0306396484375,68.2938232421875,183.72000122070312,86.20999908447266,30.8106689453125,7.299082279205322,59.983299255371094,1965.68994140625,72.41890716552734,32.77448654174805,226.03271484375,33.62228775024414,107.88325500488281,460.4233703613281,130.44000244140625,46.71796798706055,164.57373046875,424.44036865234375,238.2735137939453,90.48999786376953,504.0556945800781,61.37568283081055,91.19999694824219,90.86000061035156,339.0831604003906,318.730712890625,67.5809555053711,204.4554901123047,27.961259841918945,135.6241912841797,26.5307674407959,393.6585998535156,267.29998779296875,172.26266479492188,126.33417510986328,61.1798210144043,326.28668212890625,356.49371337890625,466.1509704589844,203.76060485839844,2.073737382888794,344.150146484375,265.71429443359375,75.14095306396484,116.1500015258789,107.41817474365234,84.51565551757812,246.8214569091797,5.400000095367432,83.45361328125,290.4100036621094,58.99606704711914,107.12531280517578,400.6400146484375,169.459716796875,65.14781188964844,87.10446166992188,78.8718032836914,87.1500015258789,175.21990966796875,51.28315353393555,147.3688507080078,115.3013916015625,96.01742553710938,113.60031127929688,95.9705581665039,89.9133071899414,78.36000061035156,103.85363006591797,97.93524932861328,53.97606658935547,45.450889587402344,78.66999816894531,341.277099609375,242.2910614013672,17.30736541748047,21.464086532592773,22.63644027709961,60.70451736450195,77.4520492553711,141.66000366210938,552.6849975585938,139.59063720703125,157.6699981689453,76.48905944824219,57.389774322509766,164.8374786376953,48.74535369873047,519.8535766601562,206.97386169433594,174.27955627441406,206.27195739746094,35.1856689453125,143.7079315185547,101.95891571044922
